Source,SpecimenID,Location,Day,Month,Year,A or B egg,Length (mm),Breadth (mm),Volume,Reference,Column1,_1,_2,_3,_4
NMSE,1975.9.31,Tristan,NA,NA,1973,U,60.6,48.2,71.4,,,,,,
NMSE,1975.9.31,Tristan,NA,NA,1973,U,61.4,48.8,74.1,,,,,,
NMSE,1975.9.33,Nightingale,NA,NA,1973,U,63.5,46.6,69.9,,,,,,
NMSE,1975.9.32,Tristan,NA,NA,1973,U,63.8,47.8,73.9,,,,,,
NMSE,1975.9.32,Tristan,NA,NA,1973,U,64.6,47,72.3,,,,,,
NMSE,1975.9.32,Tristan,NA,NA,1973,U,70.2,55.2,108.4,,,,,,
NMSE,1975.9.33,Nightingale,NA,NA,1973,U,74.6,58.3,128.6,,,,,,
Peter Ryan,Ryan 128,Nightingale,NA,NA,1999,U,46.8,53.1,66.9,Harvested eggs,,,,,
Peter Ryan,Ryan 7,Nightingale,NA,NA,1999,U,56.7,42.5,51.9,Known clutches,,,,,
Peter Ryan,Ryan 28,Nightingale,NA,NA,1999,U,54,47.9,62.8,Known clutches,,,,,
Peter Ryan,Ryan 22,Nightingale,NA,NA,1999,U,56.7,45.2,58.7,Known clutches,,,,,
Peter Ryan,Ryan 18,Nightingale,NA,NA,1999,U,57.6,44.5,57.8,Known clutches,,,,,
Peter Ryan,Ryan 144,Nightingale,NA,NA,1999,U,57.9,44.3,57.6,Harvested eggs,,,,,
Peter Ryan,Ryan 143,Nightingale,NA,NA,1999,U,58.4,44.4,58.4,Harvested eggs,,,,,
Peter Ryan,Ryan 142,Nightingale,NA,NA,1999,U,58.3,44.8,59.3,Harvested eggs,,,,,
Peter Ryan,Ryan 141,Nightingale,NA,NA,1999,U,58.6,44.8,59.6,Harvested eggs,,,,,
Peter Ryan,Ryan 139,Nightingale,NA,NA,1999,U,58.9,44.9,60.2,Harvested eggs,,,,,
Peter Ryan,Ryan 13,Nightingale,NA,NA,1999,U,59.2,44.5,59.4,Known clutches,,,,,
Peter Ryan,Ryan 130,Nightingale,NA,NA,1999,U,57.1,47.7,65.9,Harvested eggs,,,,,
Peter Ryan,Ryan 17,Nightingale,NA,NA,1999,U,58.4,46,62.7,Known clutches,,,,,
Peter Ryan,Ryan 134,Nightingale,NA,NA,1999,U,57.7,47.1,64.9,Harvested eggs,,,,,
Peter Ryan,Ryan 140,Nightingale,NA,NA,1999,U,59.5,44.6,60,Harvested eggs,,,,,
Peter Ryan,Ryan 19,Nightingale,NA,NA,1999,U,59.7,45.7,63.2,Known clutches,,,,,
Peter Ryan,Ryan 137,Nightingale,NA,NA,1999,U,59.9,45.7,63.4,Harvested eggs,,,,,
Peter Ryan,Ryan 131,Nightingale,NA,NA,1999,U,59.2,46.8,65.7,Harvested eggs,,,,,
Peter Ryan,Ryan 138,Nightingale,NA,NA,1999,U,60.1,45.5,63.1,Harvested eggs,,,,,
Peter Ryan,Ryan 136,Nightingale,NA,NA,1999,U,60.2,45.7,63.7,Harvested eggs,,,,,
Peter Ryan,Ryan 29,Nightingale,NA,NA,1999,U,60.9,45.2,63.1,Known clutches,,,,,
Peter Ryan,Ryan 132,Nightingale,NA,NA,1999,U,60.3,46.3,65.5,Harvested eggs,,,,,
Peter Ryan,Ryan 133,Nightingale,NA,NA,1999,U,60.4,46.2,65.4,Harvested eggs,,,,,
Peter Ryan,Ryan 25,Nightingale,NA,NA,1999,U,61.3,45.3,63.8,Known clutches,,,,,
Peter Ryan,Ryan 5,Nightingale,NA,NA,1999,U,61,46.1,65.7,Known clutches,,,,,
Peter Ryan,Ryan 126,Nightingale,NA,NA,1999,U,60.7,46.7,67.1,Harvested eggs,,,,,
Peter Ryan,Ryan 8,Nightingale,NA,NA,1999,U,60.7,46.7,67.1,Known clutches,,,,,
Peter Ryan,Ryan 123,Nightingale,NA,NA,1999,U,59.9,47.9,69.7,Harvested eggs,,,,,
Peter Ryan,Ryan 127,Nightingale,NA,NA,1999,U,60.8,46.6,66.9,Harvested eggs,,,,,
Peter Ryan,Ryan 121,Nightingale,NA,NA,1999,U,60,48,70.1,Harvested eggs,,,,,
Peter Ryan,Ryan 120,Nightingale,NA,NA,1999,U,60.4,48,70.6,Harvested eggs,,,,,
Peter Ryan,Ryan 24,Nightingale,NA,NA,1999,U,60.1,48.6,72,Known clutches,,,,,
Peter Ryan,Ryan 135,Nightingale,NA,NA,1999,U,62.7,44.9,64.1,Harvested eggs,,,,,
Peter Ryan,Ryan 125,Nightingale,NA,NA,1999,U,61.7,46.5,67.6,Harvested eggs,,,,,
Peter Ryan,Ryan 119,Nightingale,NA,NA,1999,U,61,47.8,70.7,Harvested eggs,,,,,
Peter Ryan,Ryan 3,Nightingale,NA,NA,1999,U,61,48,71.3,Known clutches,,,,,
Peter Ryan,Ryan 6,Nightingale,NA,NA,1999,U,63.7,44,62.5,Known clutches,,,,,
Peter Ryan,Ryan 122,Nightingale,NA,NA,1999,U,61.5,47.3,69.8,Harvested eggs,,,,,
Peter Ryan,Ryan 9,Nightingale,NA,NA,1999,U,61.3,47.7,70.7,Known clutches,,,,,
Peter Ryan,Ryan 117,Nightingale,NA,NA,1999,U,61.2,48.2,72.1,Harvested eggs,,,,,
Peter Ryan,Ryan 118,Nightingale,NA,NA,1999,U,61.5,47.9,71.5,Harvested eggs,,,,,
Peter Ryan,Ryan 124,Nightingale,NA,NA,1999,U,62.5,46.5,68.5,Harvested eggs,,,,,
Peter Ryan,Ryan 11,Nightingale,NA,NA,1999,U,62.4,46.8,69.3,Known clutches,,,,,
Peter Ryan,Ryan 113,Nightingale,NA,NA,1999,U,61.6,48.8,74.4,Harvested eggs,,,,,
Peter Ryan,Ryan 129,Nightingale,NA,NA,1999,U,64,45.3,66.6,Harvested eggs,,,,,
Peter Ryan,Ryan 26,Nightingale,NA,NA,1999,U,63.5,46.1,68.4,Known clutches,,,,,
Peter Ryan,Ryan 111,Nightingale,NA,NA,1999,U,61.7,49,75.1,Harvested eggs,,,,,
Peter Ryan,Ryan 12,Nightingale,NA,NA,1999,U,62.9,48.3,74.4,Known clutches,,,,,
Peter Ryan,Ryan 16,Nightingale,NA,NA,1999,U,63.7,47.4,72.6,Known clutches,,,,,
Peter Ryan,Ryan 107,Nightingale,NA,NA,1999,U,62.4,49.4,77.2,Harvested eggs,,,,,
Peter Ryan,Ryan 23,Nightingale,NA,NA,1999,U,63.4,48.1,74.4,Known clutches,,,,,
Peter Ryan,Ryan 112,Nightingale,NA,NA,1999,U,63.2,48.4,75.1,Harvested eggs,,,,,
Peter Ryan,Ryan 21,Nightingale,NA,NA,1999,U,64.1,47.3,72.7,Known clutches,,,,,
Peter Ryan,Ryan 116,Nightingale,NA,NA,1999,U,64.2,47.4,73.1,Harvested eggs,,,,,
Peter Ryan,Ryan 110,Nightingale,NA,NA,1999,U,63.4,48.6,75.9,Harvested eggs,,,,,
Peter Ryan,Ryan 115,Nightingale,NA,NA,1999,U,64.2,47.6,73.7,Harvested eggs,,,,,
Peter Ryan,Ryan 109,Nightingale,NA,NA,1999,U,63.4,48.9,76.9,Harvested eggs,,,,,
Peter Ryan,Ryan 4,Nightingale,NA,NA,1999,U,63.7,48.5,76,Known clutches,,,,,
Peter Ryan,Ryan 106,Nightingale,NA,NA,1999,U,64.1,49,78,Harvested eggs,,,,,
Peter Ryan,Ryan 14,Nightingale,NA,NA,1999,U,63.7,49.7,79.8,Known clutches,,,,,
Peter Ryan,Ryan 108,Nightingale,NA,NA,1999,U,64.7,48.5,77.2,Harvested eggs,,,,,
Peter Ryan,Ryan 31,Nightingale,NA,NA,1999,U,64.8,48.4,77,Known clutches,,,,,
Peter Ryan,Ryan 103,Nightingale,NA,NA,1999,U,64.1,49.6,80,Harvested eggs,,,,,
Peter Ryan,Ryan 100,Nightingale,NA,NA,1999,U,63.3,51.2,84.1,Harvested eggs,,,,,
Peter Ryan,Ryan 104,Nightingale,NA,NA,1999,U,64.7,49.3,79.7,Harvested eggs,,,,,
Peter Ryan,Ryan 10,Nightingale,NA,NA,1999,U,67,46,71.9,Known clutches,,,,,
Peter Ryan,Ryan 27,Nightingale,NA,NA,1999,U,64.3,50.4,82.8,Known clutches,,,,,
Peter Ryan,Ryan 105,Nightingale,NA,NA,1999,U,65.6,48.7,78.9,Harvested eggs,,,,,
Peter Ryan,Ryan 2,Nightingale,NA,NA,1999,U,65.9,48.4,78.3,Known clutches,,,,,
Peter Ryan,Ryan 114,Nightingale,NA,NA,1999,U,67.2,46.7,74.3,Harvested eggs,,,,,
Peter Ryan,Ryan 1,Nightingale,NA,NA,1999,U,66.6,49,81.1,Known clutches,,,,,
Peter Ryan,Ryan 102,Nightingale,NA,NA,1999,U,66.9,48.7,80.4,Harvested eggs,,,,,
Peter Ryan,Ryan 92,Nightingale,NA,NA,1999,U,64.9,52,89,Harvested eggs,,,,,
Peter Ryan,Ryan 101,Nightingale,NA,NA,1999,U,66.6,49.5,82.7,Harvested eggs,,,,,
Peter Ryan,Ryan 96,Nightingale,NA,NA,1999,U,65.6,51,86.5,Harvested eggs,,,,,
Peter Ryan,Ryan 7,Nightingale,NA,NA,1999,U,66.6,49.8,83.7,Known clutches,,,,,
Peter Ryan,Ryan 90,Nightingale,NA,NA,1999,U,64.9,52.4,90.3,Harvested eggs,,,,,
Peter Ryan,Ryan 13,Nightingale,NA,NA,1999,U,66.2,51,87.3,Known clutches,,,,,
Peter Ryan,Ryan 99,Nightingale,NA,NA,1999,U,67.1,49.8,84.4,Harvested eggs,,,,,
Peter Ryan,Ryan 5,Nightingale,NA,NA,1999,U,66.1,51.4,88.5,Known clutches,,,,,
Peter Ryan,Ryan 20,Nightingale,NA,NA,1999,U,65.2,53,92.9,Known clutches,,,,,
Peter Ryan,Ryan 26,Nightingale,NA,NA,1999,U,67.3,50,85.3,Known clutches,,,,,
Peter Ryan,Ryan 89,Nightingale,NA,NA,1999,U,66,52,90.5,Harvested eggs,,,,,
Peter Ryan,Ryan 94,Nightingale,NA,NA,1999,U,66.9,50.9,87.9,Harvested eggs,,,,,
Peter Ryan,Ryan 29,Nightingale,NA,NA,1999,U,66.3,51.8,90.2,Known clutches,,,,,
Peter Ryan,Ryan 98,Nightingale,NA,NA,1999,U,67.6,50.1,86,Harvested eggs,,,,,
Peter Ryan,Ryan 84,Nightingale,NA,NA,1999,U,65.8,53.1,94.1,Harvested eggs,,,,,
Peter Ryan,Ryan 97,Nightingale,NA,NA,1999,U,68.2,50,86.4,Harvested eggs,,,,,
Peter Ryan,Ryan 15,Nightingale,NA,NA,1999,U,66.2,53,94.3,Known clutches,,,,,
Peter Ryan,Ryan 81,Nightingale,NA,NA,1999,U,65.9,53.6,96,Harvested eggs,,,,,
Peter Ryan,Ryan 75,Nightingale,NA,NA,1999,U,65.7,54,97.1,Harvested eggs,,,,,
Peter Ryan,Ryan 85,Nightingale,NA,NA,1999,U,66.7,52.7,93.9,Harvested eggs,,,,,
Peter Ryan,Ryan 95,Nightingale,NA,NA,1999,U,68.6,49.9,86.6,Harvested eggs,,,,,
Peter Ryan,Ryan 82,Nightingale,NA,NA,1999,U,66.4,53.2,95.3,Harvested eggs,,,,,
Peter Ryan,Ryan 80,Nightingale,NA,NA,1999,U,66.2,53.5,96.1,Harvested eggs,,,,,
Peter Ryan,Ryan 15,Nightingale,NA,NA,1999,U,69.3,49,84.4,Known clutches,,,,,
Peter Ryan,Ryan 93,Nightingale,NA,NA,1999,U,68.4,50.5,88.4,Harvested eggs,,,,,
Peter Ryan,Ryan 87,Nightingale,NA,NA,1999,U,67.4,52,92.4,Harvested eggs,,,,,
Peter Ryan,Ryan 17,Nightingale,NA,NA,1999,U,67.6,51.8,92,Known clutches,,,,,
Peter Ryan,Ryan 79,Nightingale,NA,NA,1999,U,66.7,53.3,96.1,Harvested eggs,,,,,
Peter Ryan,Ryan 25,Nightingale,NA,NA,1999,U,68.3,51.3,91.1,Known clutches,,,,,
Peter Ryan,Ryan 86,Nightingale,NA,NA,1999,U,68,51.8,92.5,Harvested eggs,,,,,
Peter Ryan,Ryan 19,Nightingale,NA,NA,1999,U,67.6,52.6,94.8,Known clutches,,,,,
Peter Ryan,Ryan 8,Nightingale,NA,NA,1999,U,66.8,53.8,98,Known clutches,,,,,
Peter Ryan,Ryan 55,Nightingale,NA,NA,1999,U,66.2,54.9,101.2,Harvested eggs,,,,,
Peter Ryan,Ryan 76,Nightingale,NA,NA,1999,U,67.4,53.2,96.7,Harvested eggs,,,,,
Peter Ryan,Ryan 70,Nightingale,NA,NA,1999,U,67.1,53.7,98.1,Harvested eggs,,,,,
Peter Ryan,Ryan 68,Nightingale,NA,NA,1999,U,67.1,53.8,98.5,Harvested eggs,,,,,
Peter Ryan,Ryan 49,Nightingale,NA,NA,1999,U,66.3,55.1,102.1,Harvested eggs,,,,,
Peter Ryan,Ryan 50,Nightingale,NA,NA,1999,U,66.4,55,101.8,Harvested eggs,,,,,
Peter Ryan,Ryan 91,Nightingale,NA,NA,1999,U,69.4,50.6,90.1,Harvested eggs,,,,,
Peter Ryan,Ryan 69,Nightingale,NA,NA,1999,U,67.5,53.6,98.3,Harvested eggs,,,,,
Peter Ryan,Ryan 3,Nightingale,NA,NA,1999,U,68.5,52.3,95,Known clutches,,,,,
Peter Ryan,Ryan 2,Nightingale,NA,NA,1999,U,68.1,52.9,96.6,Known clutches,,,,,
Peter Ryan,Ryan 63,Nightingale,NA,NA,1999,U,67.5,54,99.8,Harvested eggs,,,,,
Peter Ryan,Ryan 52,Nightingale,NA,NA,1999,U,67.1,54.6,101.4,Harvested eggs,,,,,
Peter Ryan,Ryan 65,Nightingale,NA,NA,1999,U,67.6,53.9,99.6,Harvested eggs,,,,,
Peter Ryan,Ryan 73,Nightingale,NA,NA,1999,U,68.3,53,97.3,Harvested eggs,,,,,
Peter Ryan,Ryan 60,Nightingale,NA,NA,1999,U,67.7,54.1,100.5,Harvested eggs,,,,,
Peter Ryan,Ryan 57,Nightingale,NA,NA,1999,U,67.7,54.2,100.8,Harvested eggs,,,,,
Peter Ryan,Ryan 74,Nightingale,NA,NA,1999,U,68.8,52.8,97.2,Harvested eggs,,,,,
Peter Ryan,Ryan 6,Nightingale,NA,NA,1999,U,71.2,49.4,88.1,Known clutches,,,,,
Peter Ryan,Ryan 64,Nightingale,NA,NA,1999,U,68.4,53.6,99.6,Harvested eggs,,,,,
Peter Ryan,Ryan 77,Nightingale,NA,NA,1999,U,69.3,52.4,96.5,Harvested eggs,,,,,
Peter Ryan,Ryan 78,Nightingale,NA,NA,1999,U,69.3,52.4,96.5,Harvested eggs,,,,,
Peter Ryan,Ryan 22,Nightingale,NA,NA,1999,U,68.8,53.2,98.7,Known clutches,,,,,
Peter Ryan,Ryan 72,Nightingale,NA,NA,1999,U,69.1,52.8,97.7,Harvested eggs,,,,,
Peter Ryan,Ryan 9,Nightingale,NA,NA,1999,U,67.9,54.6,102.6,Known clutches,,,,,
Peter Ryan,Ryan 83,Nightingale,NA,NA,1999,U,69.9,51.8,95.1,Harvested eggs,,,,,
Peter Ryan,Ryan 88,Nightingale,NA,NA,1999,U,70.7,50.7,92.1,Harvested eggs,,,,,
Peter Ryan,Ryan 53,Nightingale,NA,NA,1999,U,68.5,54,101.3,Harvested eggs,,,,,
Peter Ryan,Ryan 67,Nightingale,NA,NA,1999,U,69.2,53,98.6,Harvested eggs,,,,,
Peter Ryan,Ryan 31,Nightingale,NA,NA,1999,U,70.5,51.1,93.3,Known clutches,,,,,
Peter Ryan,Ryan 27,Nightingale,NA,NA,1999,U,67.9,55,104.1,Known clutches,,,,,
Peter Ryan,Ryan 61,Nightingale,NA,NA,1999,U,69,53.5,100.1,Harvested eggs,,,,,
Peter Ryan,Ryan 71,Nightingale,NA,NA,1999,U,69.7,52.6,97.8,Harvested eggs,,,,,
Peter Ryan,Ryan 20,Nightingale,NA,NA,1999,U,69.1,53.7,101,Known clutches,,,,,
Peter Ryan,Ryan 58,Nightingale,NA,NA,1999,U,69.2,53.6,100.8,Harvested eggs,,,,,
Peter Ryan,Ryan 59,Nightingale,NA,NA,1999,U,69.3,53.5,100.6,Harvested eggs,,,,,
Peter Ryan,Ryan 28,Nightingale,NA,NA,1999,U,69.9,52.7,98.4,Known clutches,,,,,
Peter Ryan,Ryan 62,Nightingale,NA,NA,1999,U,69.5,53.3,100.1,Harvested eggs,,,,,
Peter Ryan,Ryan 30,Nightingale,NA,NA,1999,U,70.6,52.4,98.3,Known clutches,,,,,
Peter Ryan,Ryan 18,Nightingale,NA,NA,1999,U,70.3,53,100.1,Known clutches,,,,,
Peter Ryan,Ryan 51,Nightingale,NA,NA,1999,U,70.1,53.5,101.7,Harvested eggs,,,,,
Peter Ryan,Ryan 54,Nightingale,NA,NA,1999,U,70.3,53.3,101.3,Harvested eggs,,,,,
Peter Ryan,Ryan 21,Nightingale,NA,NA,1999,U,69.6,54.4,104.4,Known clutches,,,,,
Peter Ryan,Ryan 48,Nightingale,NA,NA,1999,U,70.1,53.8,102.9,Harvested eggs,,,,,
Peter Ryan,Ryan 44,Nightingale,NA,NA,1999,U,69.8,54.4,104.7,Harvested eggs,,,,,
Peter Ryan,Ryan 41,Nightingale,NA,NA,1999,U,69.4,55,106.4,Harvested eggs,,,,,
Peter Ryan,Ryan 45,Nightingale,NA,NA,1999,U,70,54.2,104.3,Harvested eggs,,,,,
Peter Ryan,Ryan 43,Nightingale,NA,NA,1999,U,69.7,54.7,105.7,Harvested eggs,,,,,
Peter Ryan,Ryan 24,Nightingale,NA,NA,1999,U,70.1,54.4,105.2,Known clutches,,,,,
Peter Ryan,Ryan 46,Nightingale,NA,NA,1999,U,70.6,53.8,103.6,Harvested eggs,,,,,
Peter Ryan,Ryan 39,Nightingale,NA,NA,1999,U,69.9,54.9,106.8,Harvested eggs,,,,,
Peter Ryan,Ryan 66,Nightingale,NA,NA,1999,U,71.7,52.3,99.4,Harvested eggs,,,,,
Peter Ryan,Ryan 38,Nightingale,NA,NA,1999,U,69.7,55.3,108.1,Harvested eggs,,,,,
Peter Ryan,Ryan 56,Nightingale,NA,NA,1999,U,71.4,52.8,100.9,Harvested eggs,,,,,
Peter Ryan,Ryan 47,Nightingale,NA,NA,1999,U,70.9,53.6,103.3,Harvested eggs,,,,,
Peter Ryan,Ryan 42,Nightingale,NA,NA,1999,U,70.3,54.6,106.3,Harvested eggs,,,,,
Peter Ryan,Ryan 30,Nightingale,NA,NA,1999,U,70.2,55.1,108.1,Known clutches,,,,,
Peter Ryan,Ryan 35,Nightingale,NA,NA,1999,U,70.1,55.6,109.9,Harvested eggs,,,,,
Peter Ryan,Ryan 4,Nightingale,NA,NA,1999,U,71.7,53.3,103.3,Known clutches,,,,,
Peter Ryan,Ryan 11,Nightingale,NA,NA,1999,U,71.8,53.4,103.8,Known clutches,,,,,
Peter Ryan,Ryan 10,Nightingale,NA,NA,1999,U,71.9,53.3,103.6,Known clutches,,,,,
Peter Ryan,Ryan 14,Nightingale,NA,NA,1999,U,70.4,55.6,110.3,Known clutches,,,,,
Peter Ryan,Ryan 1,Nightingale,NA,NA,1999,U,71.4,54.3,106.7,Known clutches,,,,,
Peter Ryan,Ryan 23,Nightingale,NA,NA,1999,U,72.5,52.7,102.1,Known clutches,,,,,
Peter Ryan,Ryan 36,Nightingale,NA,NA,1999,U,71,55,108.9,Harvested eggs,,,,,
Peter Ryan,Ryan 16,Nightingale,NA,NA,1999,U,72.6,53,103.4,Known clutches,,,,,
Peter Ryan,Ryan 40,Nightingale,NA,NA,1999,U,71.9,54.1,106.7,Harvested eggs,,,,,
Peter Ryan,Ryan 37,Nightingale,NA,NA,1999,U,73,54.2,108.7,Harvested eggs,,,,,
Peter Ryan,Ryan 34,Nightingale,NA,NA,1999,U,72.4,55.1,111.4,Harvested eggs,,,,,
Peter Ryan,Ryan 12,Nightingale,NA,NA,1999,U,72.9,55.5,113.8,Known clutches,,,,,
Peter Ryan,Ryan 33,Nightingale,NA,NA,1999,U,73.5,56.9,120.6,Harvested eggs,,,,,
Peter Ryan,Ryan 32,Nightingale,NA,NA,1999,U,72.5,58.6,126.2,Harvested eggs,,,,,
RSPB,RSPB 137,Alex,26,9,2014,A,50.5,44.7,51.2,,,,,,
RSPB,RSPB 6,Nightingale,23,9,2014,A,54.2,40.5,45.1,,,,,,
RSPB,RSPB 8,Nightingale,23,9,2014,A,57,42.4,52,,,,,,
RSPB,RSPB 73,Nightingale,25,9,2014,A,56.5,43.8,55,,,,,,
RSPB,RSPB 32,Nightingale,23,9,2014,A,55.5,45.6,58.5,,,,,,
RSPB,RSPB 171,Tristan,13,10,2014,A,56.4,44.3,56.1,,,,,,
RSPB,RSPB 239,Tristan,9,10,2014,A,57.5,43,53.9,,,,,,
RSPB,RSPB 225,Tristan,9,10,2014,A,56.4,45.5,59.2,,,,,,
RSPB,RSPB 18,Nightingale,23,9,2014,A,58.8,42.8,54.5,,,,,,
RSPB,RSPB 141,Alex,26,9,2014,A,57.2,45.4,59.8,,,,,,
RSPB,RSPB 179,Tristan,13,10,2014,A,57.4,45.6,60.5,,,,,,
RSPB,RSPB 101,Alex,26,9,2014,A,58.8,43.7,56.9,,,,,,
RSPB,RSPB 201,Tristan,13,10,2014,A,58.9,43.6,56.8,,,,,,
RSPB,RSPB 266,Tristan,9,10,2014,A,58,45,59.5,,,,,,
RSPB,RSPB 125,Alex,26,9,2014,A,58.4,44.7,59.2,,,,,,
RSPB,RSPB 103,Alex,26,9,2014,A,58.5,45,59.9,,,,,,
RSPB,RSPB 104,Alex,26,9,2014,A,58.7,44.8,59.7,,,,,,
RSPB,RSPB 74,Nightingale,25,9,2014,A,58.2,45.6,61.2,,,,,,
RSPB,RSPB 80,Nightingale,25,9,2014,A,57.9,46,62.1,,,,,,
RSPB,RSPB 19,Nightingale,23,9,2014,A,59.3,44.2,58.7,,,,,,
RSPB,RSPB 11,Nightingale,23,9,2014,A,57.3,47.2,64.7,,,,,,
RSPB,RSPB 12,Nightingale,23,9,2014,A,58.8,45,60.4,,,,,,
RSPB,RSPB 20,Nightingale,23,9,2014,A,58.8,45.1,60.5,,,,,,
RSPB,RSPB 231,Tristan,9,10,2014,A,58.5,45.6,61.7,,,,,,
RSPB,RSPB 131,Alex,26,9,2014,A,58.5,45.7,61.8,,,,,,
RSPB,RSPB 51,Nightingale,24,9,2014,A,58.6,45.6,61.8,,,,,,
